concentration,time to catastrophe (s)
12 uM,425.458
12 uM,425.458
12 uM,428.021
12 uM,428.021
12 uM,428.021
12 uM,430.0
12 uM,430.0
12 uM,430.0
12 uM,433.147
12 uM,435.0
12 uM,435.0
12 uM,435.0
12 uM,435.0
12 uM,438.273
12 uM,440.0
12 uM,440.0
12 uM,440.0
12 uM,440.0
12 uM,440.0
12 uM,440.0
12 uM,440.0
12 uM,440.0
12 uM,440.836
12 uM,440.836
12 uM,443.399
12 uM,445.0
12 uM,445.0
12 uM,445.0
12 uM,448.525
12 uM,448.525
12 uM,449.508
12 uM,450.0
12 uM,450.0
12 uM,450.0
12 uM,451.088
12 uM,451.088
12 uM,453.651
12 uM,453.651
12 uM,455.0
12 uM,456.214
12 uM,456.214
12 uM,460.0
12 uM,460.0
12 uM,461.463
12 uM,463.854
12 uM,463.854
12 uM,463.903
12 uM,465.0
12 uM,465.0
12 uM,466.466
12 uM,469.029
12 uM,470.0
12 uM,471.592
12 uM,471.592
12 uM,475.0
12 uM,478.2
12 uM,479.281
12 uM,480.0
12 uM,480.0
12 uM,480.0
12 uM,480.0
12 uM,481.844
12 uM,482.982
12 uM,485.0
12 uM,485.0
12 uM,486.97
12 uM,486.97
12 uM,486.97
12 uM,490.0
12 uM,490.155
12 uM,494.659
12 uM,494.659
12 uM,495.0
12 uM,497.222
12 uM,497.222
12 uM,500.0
12 uM,500.0
12 uM,500.0
12 uM,504.911
12 uM,504.911
12 uM,505.0
12 uM,505.0
12 uM,505.0
12 uM,505.0
12 uM,506.892
12 uM,507.474
12 uM,510.0
12 uM,510.0
12 uM,511.674
12 uM,512.6
12 uM,515.0
12 uM,515.0
12 uM,515.163
12 uM,515.163
12 uM,515.163
12 uM,517.726
12 uM,520.0
12 uM,520.0
12 uM,520.0
12 uM,525.415
12 uM,530.0
12 uM,530.0
12 uM,530.0
12 uM,530.0
12 uM,530.0
12 uM,533.104
12 uM,535.0
12 uM,535.0
12 uM,535.667
12 uM,538.23
12 uM,543.356
12 uM,543.356
12 uM,545.0
12 uM,545.0
12 uM,545.0
12 uM,545.0
12 uM,548.482
12 uM,550.0
12 uM,550.0
12 uM,555.0
12 uM,555.0
12 uM,555.0
12 uM,555.0
12 uM,556.171
12 uM,556.171
12 uM,556.171
12 uM,558.734
12 uM,560.0
12 uM,560.0
12 uM,560.0
12 uM,565.0
12 uM,565.0
12 uM,565.0
12 uM,565.0
12 uM,566.423
12 uM,570.0
12 uM,571.549
12 uM,574.112
12 uM,574.112
12 uM,574.112
12 uM,575.0
12 uM,575.0
12 uM,580.0
12 uM,585.0
12 uM,588.186
12 uM,589.49
12 uM,590.0
12 uM,594.616
12 uM,595.0
12 uM,600.0
12 uM,602.532
12 uM,605.0
12 uM,605.0
12 uM,605.0
12 uM,610.0
12 uM,610.0
12 uM,615.0
12 uM,615.0
12 uM,615.12
12 uM,620.0
12 uM,620.0
12 uM,625.372
12 uM,628.833
12 uM,630.498
12 uM,633.061
12 uM,635.0
12 uM,635.624
12 uM,640.0
12 uM,640.0
12 uM,643.313
12 uM,648.439
12 uM,650.0
12 uM,650.352
12 uM,660.0
12 uM,665.0
12 uM,670.0
12 uM,674.069
12 uM,675.0
12 uM,675.0
12 uM,684.321
12 uM,685.0
12 uM,685.0
12 uM,690.0
12 uM,692.01
12 uM,699.699
12 uM,700.0
12 uM,705.0
12 uM,712.514
12 uM,725.329
12 uM,730.0
12 uM,730.455
12 uM,730.455
12 uM,745.0
12 uM,765.0
12 uM,766.337
12 uM,770.0
12 uM,780.0
12 uM,780.0
12 uM,785.0
12 uM,785.0
12 uM,805.0
12 uM,805.0
12 uM,810.0
12 uM,820.0
12 uM,835.0
12 uM,855.0
12 uM,865.0
12 uM,875.0
12 uM,875.0
12 uM,885.0
12 uM,885.0
12 uM,910.0
12 uM,940.0
12 uM,945.0
12 uM,950.0
12 uM,950.0
12 uM,950.0
12 uM,955.0
12 uM,960.0
12 uM,960.0
12 uM,965.0
12 uM,965.0
12 uM,980.0
12 uM,1002.133
12 uM,1055.0
12 uM,1095.0
12 uM,1165.0
12 uM,1230.0
12 uM,1240.0
12 uM,1285.0
12 uM,1320.0
12 uM,1335.0
12 uM,1485.0
12 uM,1505.0
12 uM,1520.0
12 uM,1785.0
14 uM,60.0
14 uM,75.0
14 uM,75.0
14 uM,85.0
14 uM,115.0
14 uM,115.0
14 uM,135.0
14 uM,140.0
14 uM,145.0
14 uM,150.0
14 uM,155.0
14 uM,165.0
14 uM,180.0
14 uM,190.0
14 uM,210.0
14 uM,210.0
14 uM,215.0
14 uM,220.0
14 uM,225.0
14 uM,235.0
14 uM,235.0
14 uM,240.0
14 uM,240.0
14 uM,245.0
14 uM,260.0
14 uM,260.0
14 uM,265.0
14 uM,265.0
14 uM,265.0
14 uM,275.0
14 uM,275.0
14 uM,275.0
14 uM,280.0
14 uM,280.0
14 uM,280.0
14 uM,280.0
14 uM,290.0
14 uM,295.0
14 uM,295.0
14 uM,300.0
14 uM,310.0
14 uM,310.0
14 uM,315.0
14 uM,320.0
14 uM,325.0
14 uM,325.0
14 uM,325.0
14 uM,325.0
14 uM,325.0
14 uM,330.0
14 uM,330.0
14 uM,335.0
14 uM,345.0
14 uM,345.0
14 uM,345.0
14 uM,355.0
14 uM,355.0
14 uM,365.0
14 uM,365.0
14 uM,365.0
14 uM,370.0
14 uM,370.0
14 uM,385.0
14 uM,385.0
14 uM,395.0
14 uM,405.0
14 uM,410.0
14 uM,415.0
14 uM,425.0
14 uM,430.0
14 uM,435.0
14 uM,435.0
14 uM,435.0
14 uM,435.0
14 uM,440.0
14 uM,445.0
14 uM,445.0
14 uM,450.0
14 uM,450.0
14 uM,450.0
14 uM,455.0
14 uM,460.0
14 uM,460.0
14 uM,465.0
14 uM,465.0
14 uM,470.0
14 uM,470.0
14 uM,470.0
14 uM,480.0
14 uM,490.0
14 uM,500.0
14 uM,505.0
14 uM,505.0
14 uM,515.0
14 uM,525.0
14 uM,525.0
14 uM,545.0
14 uM,545.0
14 uM,555.0
14 uM,560.0
14 uM,570.0
14 uM,570.0
14 uM,585.0
14 uM,590.0
14 uM,590.0
14 uM,615.0
14 uM,625.0
14 uM,630.0
14 uM,640.0
14 uM,640.0
14 uM,650.0
14 uM,655.0
14 uM,680.0
14 uM,685.0
14 uM,685.0
14 uM,690.0
14 uM,695.0
14 uM,695.0
14 uM,705.0
14 uM,730.0
14 uM,755.0
14 uM,760.0
14 uM,765.0
14 uM,770.0
14 uM,770.0
14 uM,790.0
14 uM,795.0
14 uM,795.0
14 uM,820.0
14 uM,830.0
14 uM,840.0
14 uM,850.0
14 uM,875.0
14 uM,890.0
14 uM,975.0
14 uM,1000.0
14 uM,1005.0
14 uM,1135.0
14 uM,1305.0
14 uM,1400.0
14 uM,1420.0
